2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 4, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 3, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 3, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 3, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 3, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 2, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 1, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 2, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:19 NewProxyConnection.java DEBUG com.mchange.v2.c3p0.impl.NewProxyConnection@503824: close() called more than once.
2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 1, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 1, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 1, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:19 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 3, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:33 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 5, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:33 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 4, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:33 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 4, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
2014-06-20 09:43:33 BasicResourcePool.java DEBUG trace com.mchange.v2.resourcepool.BasicResourcePool@4ab8c7 [managed: 6, unused: 3, excluded: 0] (e.g. com.mchange.v2.c3p0.impl.NewPooledConnection@b6f1d9)
